input_sample,output_sample,data_out,data_out_valid
6,0,0,1
10,1,0,1
14,2,0,1
18,3,0,1
22,4,0,1
26,5,0,1
30,6,0,1
34,7,118,1
38,8,651,1
42,9,979,1
46,10,1000,1
50,11,1000,1
54,12,1000,1
58,13,1000,1
62,14,1000,1
66,15,1000,1
70,16,1000,1
74,17,1000,1
78,18,1000,1
82,19,1000,1
86,20,1000,1
90,21,1000,1
94,22,1000,1
98,23,1000,1
102,24,1000,1
106,25,1000,1
110,26,1000,1
114,27,1000,1
118,28,1000,1
122,29,1000,1
126,30,1000,1
130,31,1000,1
134,32,1000,1
138,33,1000,1
142,34,1000,1
146,35,1000,1
150,36,1000,1
154,37,1000,1
158,38,1000,1
162,39,1000,1
166,40,1000,1
170,41,1000,1
174,42,1000,1
178,43,1000,1
182,44,1000,1
186,45,1000,1
190,46,1000,1
194,47,1000,1
198,48,1000,1
