sample,fft_real,fft_imag,ref_real,ref_imag,out_real,out_imag,valid
0,16383,0,16384,8192,0,0,0
1,13254,9629,16384,8192,0,0,0
2,5062,15581,16384,8192,8192,-4096,1
3,-5062,15581,16384,8192,8192,-4096,1
4,-13254,9629,16384,8192,9034,1501,1
5,-16383,0,16384,8192,6426,6525,1
6,-13254,-9629,16384,8192,1364,9056,1
7,-5062,-15581,16384,8192,-4220,8128,1
8,5062,-15581,16384,8192,-8191,4096,1
9,13254,-9629,16384,8192,-9034,-1501,1
10,16383,0,16384,8192,-6426,-6525,1
11,13254,9629,16384,8192,-1364,-9056,1
12,5062,15581,16384,8192,4220,-8128,1
13,-5062,15581,16384,8192,8192,-4096,1
14,-13254,9629,16384,8192,9034,1501,1
15,-16382,0,16384,8192,6426,6525,1
16,-13254,-9629,16384,8192,1364,9056,1
17,-5062,-15581,16384,8192,-4220,8128,1
18,5062,-15581,16384,8192,-8191,4096,1
19,13254,-9629,16384,8192,-9034,-1501,1
20,16382,0,16384,8192,-6426,-6525,1
21,13254,9629,16384,8192,-1364,-9056,1
22,5062,15581,16384,8192,4220,-8128,1
23,-5062,15581,16384,8192,8191,-4095,1
24,-13254,9629,16384,8192,9034,1501,1
25,-16382,0,16384,8192,6426,6525,1
26,-13254,-9629,16384,8192,1364,9056,1
27,-5062,-15581,16384,8192,-4220,8128,1
28,5062,-15581,16384,8192,-8191,4096,1
29,13254,-9629,16384,8192,-9034,-1501,1
