sample,sin_out,cos_out
0,22005,23731
1,22594,23170
2,22594,23170
3,26319,18868
4,28898,14732
5,31113,9512
6,32285,4808
7,32757,0
8,32285,-4808
9,31113,-9512
10,28898,-14732
11,26319,-18868
12,23170,-22594
13,18868,-26319
14,14732,-28898
15,9512,-31113
16,4808,-32285
17,0,-32757
18,-32285,-4808
19,-31113,-9512
20,-28898,-14732
21,-26319,-18868
22,-23170,-22594
23,-18868,-26319
24,-14732,-28898
25,-9512,-31113
26,-4808,-32285
27,0,-32757
28,-4808,32285
29,-9512,31113
30,-14732,28898
31,-18868,26319
32,-22594,23170
33,-26319,18868
34,-28898,14732
35,-31113,9512
36,-32285,4808
37,-32757,0
38,4808,32285
39,9512,31113
40,14732,28898
41,18868,26319
42,22594,23170
43,26319,18868
44,28898,14732
45,31113,9512
46,32285,4808
47,32757,0
48,32285,-4808
49,31113,-9512
50,28898,-14732
51,26319,-18868
52,23170,-22594
53,18868,-26319
54,14732,-28898
55,9512,-31113
56,4808,-32285
57,0,-32757
58,-32285,-4808
59,-31113,-9512
60,-28898,-14732
61,-26319,-18868
62,-23170,-22594
63,-18868,-26319
64,-14732,-28898
65,-9512,-31113
66,-4808,-32285
67,0,-32757
68,-4808,32285
69,-9512,31113
70,-14732,28898
71,-18868,26319
72,-22594,23170
73,-26319,18868
74,-28898,14732
75,-31113,9512
76,-32285,4808
77,-32757,0
78,4808,32285
79,9512,31113
80,14732,28898
81,18868,26319
82,22594,23170
83,26319,18868
84,28898,14732
85,31113,9512
86,32285,4808
87,32757,0
88,32285,-4808
89,31113,-9512
90,28898,-14732
91,26319,-18868
92,23170,-22594
93,18868,-26319
94,14732,-28898
95,9512,-31113
96,4808,-32285
97,0,-32757
98,-32285,-4808
99,-31113,-9512
100,-28898,-14732
101,-26319,-18868
102,-23170,-22594
103,-18868,-26319
104,-14732,-28898
105,-9512,-31113
106,-4808,-32285
107,0,-32757
108,-4808,32285
109,-9512,31113
110,-14732,28898
111,-18868,26319
112,-22594,23170
113,-26319,18868
114,-28898,14732
115,-31113,9512
116,-32285,4808
117,-32757,0
118,4808,32285
119,9512,31113
120,14732,28898
121,18868,26319
122,22594,23170
123,26319,18868
124,28898,14732
125,31113,9512
126,32285,4808
127,32757,0
128,32285,-4808
129,31113,-9512
130,28898,-14732
131,26319,-18868
132,23170,-22594
133,18868,-26319
134,14732,-28898
135,9512,-31113
136,4808,-32285
137,0,-32757
138,-32285,-4808
139,-31113,-9512
140,-28898,-14732
141,-26319,-18868
142,-23170,-22594
143,-18868,-26319
144,-14732,-28898
145,-9512,-31113
146,-4808,-32285
147,0,-32757
148,-4808,32285
149,-9512,31113
150,-14732,28898
151,-18868,26319
152,-22594,23170
153,-26319,18868
154,-28898,14732
155,-31113,9512
156,-32285,4808
157,-32757,0
158,4808,32285
159,9512,31113
160,14732,28898
161,18868,26319
162,22594,23170
163,26319,18868
164,28898,14732
165,31113,9512
166,32285,4808
167,32757,0
168,32285,-4808
169,31113,-9512
170,28898,-14732
171,26319,-18868
172,23170,-22594
173,18868,-26319
174,14732,-28898
175,9512,-31113
176,4808,-32285
177,0,-32757
178,-32285,-4808
179,-31113,-9512
180,-28898,-14732
181,-26319,-18868
182,-23170,-22594
183,-18868,-26319
184,-14732,-28898
185,-9512,-31113
186,-4808,-32285
187,0,-32757
188,-4808,32285
189,-9512,31113
190,-14732,28898
191,-18868,26319
192,-22594,23170
193,-26319,18868
194,-28898,14732
195,-31113,9512
196,-32285,4808
197,-32757,0
198,4808,32285
199,9512,31113
